Job Title,Account Tier,Strength,Decision-Making Power / Seniority  ,Vertical,Sub-Vertical,Pod,Industry,Original Source,Original Source Drill-Down 1
"Director: Operations, Client Services & Sales",4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Entertainment,Internet,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Services,Software and Digital,Entertainment,Internet,Offline Sources,EXTENSION
Editorial Operations Director,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION
?????? ??,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Fantasy Sports,Electronics & Gaming,,Direct Traffic,rokt.jp/contact-us
,4,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Head Of Customer Support,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
,4,F ,F - Left the company,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION
Founder & CEO,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Operations Specialist,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION
Owner,5,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,,Offline Sources,EXTENSION
Owner,5,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,Entertainment,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment - Other,Entertainment,,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
CMO,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Media,,Offline Sources,CONTACTS
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Media,,Offline Sources,CONTACTS
CEO & Founder,5,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION
Digital Marketing Manager | Paid Acquisition,5,C ,C - Lower-level in relevant teams,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION
Marketing Manager,5,C ,C - Lower-level in relevant teams,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION
CFO,5,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION
Digital Marketing Specialist,4,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION
"Director, Digital Marketing",4,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION
"Sr. Director, CRM & Retention",5,C ,C - Lower-level in relevant teams,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,INTEGRATION
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
Co-Founder,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
Co-Founder,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
Founder/CEO,5,A ,A - CEO/CXO,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Offline Sources,INTEGRATION
Chief Operating Officer,5,A ,A - CEO/CXO,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Offline Sources,INTEGRATION
Chief Marketing Officer,5,A ,A - CEO/CXO,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Offline Sources,INTEGRATION
,5,X ,X - Not Specified,Media and Entertainment,"Music, Movies and Photography",Entertainment,Music,Offline Sources,PRESENTATIONS
Full Stack Developer,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION
"Senior Manager Ecommerce, B2C",4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Data Analyst,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Retail,Electronics,Electronics & Gaming,Computer Hardware,Offline Sources,EXTENSION
Financial Controller,5,D ,D - Lower-level in non-relevant teams,Retail,Gifts,Retail,Internet,Offline Sources,EXTENSION
Chief Executive Officer Australia & New Zealand,4,A ,A - CEO/CXO,Food and Beverage,Food Delivery,Food Services,Retail,Offline Sources,EXTENSION
"Audience Engagement Manager, Women's Health",4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION
Executive Sales Manager,6,C ,C - Lower-level in relevant teams,Retail,Electronics,Electronics & Gaming,Computer Hardware,Offline Sources,INTEGRATION
Founder,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Email Marketing Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Internet,Offline Sources,INTEGRATION
"Senior Director, Digital Marketing",5,C ,C - Lower-level in relevant teams,Retail,"Music, Movies and Photography",Retail,Music,Offline Sources,INTEGRATION
Marketing Director,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,EXTENSION
Chief Marketing Officer,4,A ,A - CEO/CXO,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION
"Deputy Editor, Content Strategy (Men's Health)",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
"Deputy Editor of Content, Men's Health",4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Media and Entertainment,Fantasy Sports,Entertainment,,Offline Sources,EXTENSION
Marketing Analyst,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,EXTENSION
,6,F ,F - Left the company,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
vm,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
Senior Web Developer,5,D ,D - Lower-level in non-relevant teams,Retail,Gifts,Retail,Internet,Offline Sources,EXTENSION
Chief Integration Officer,4,D ,D - Lower-level in non-relevant teams,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION
Senior Affiliate Marketing Manager,4,C ,C - Lower-level in relevant teams,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Internet,Offline Sources,PRESENTATIONS
,5,X ,X - Not Specified,Retail,Retail - Other,Subscription,Internet,Offline Sources,PRESENTATIONS
,5,X ,X - Not Specified,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
Web Analyst,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Internet,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Direct Traffic,rokt.com/
Chief Executive Officer,5,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION
,4,X ,X - Not Specified,Travel,Airlines,Travel,Airlines/Aviation,Offline Sources,EXTENSION
Emerging Platforms Director,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION
Co-Founder,4,A ,A - CEO/CXO,Retail,Fashion,Retail,,Offline Sources,
Co-Founder,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Co-Founder,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Paid Media Director,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Strategic Advisor,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Consumer Goods,Offline Sources,INTEGRATION
Ecommerce Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Head Of Operations,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Growth Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Brand Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,EXTENSION
Software Engineer,6,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Retail,Sporting Goods,Electronics & Gaming,,Offline Sources,SEQUENCES
Lead Software Developer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION
Staff Software Engineer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION
"Executive Digital Editor, Women's Health magazine",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
Web Engineer,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Movies,Media,,Offline Sources,EXTENSION
Full Stack Software Engineer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,EXTENSION
"Vice President, Marketing Automation",4,B ,B - SVP/VP in decision-making position,B2B,Software and Digital,B2B,Internet,Offline Sources,SEQUENCES
,4,F ,F - Left the company,B2B,Software and Digital,B2B,Internet,Offline Sources,SEQUENCES
Chief People Officer,4,A ,A - CEO/CXO,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION
,4,F ,F - Left the company,B2B,Software and Digital,B2B,Internet,Offline Sources,EXTENSION
Digital Director,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION
Chief Development Officer,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
SVP of Ecommerce,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
"Vice-Chairman, President & COO",5,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Vice President of Network Operations,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
VP of Production and Sourcing,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Senior Vice President Digital Strategy,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Senior Vice President Marketing/Communications,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION
Director of Digital,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION
VP Sales and Revenue,4,B ,B - SVP/VP in decision-making position,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION
E-Commerce Operations Manager,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION
"Senior Director, Editorial & Strategy, Oprah Daily",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION
Director of Innovation and Automation,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Retail - Other,Electronics & Gaming,,Offline Sources,EXTENSION
Marketing Director,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,EXTENSION
"Director, CRM & Channel Segmentation",4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Organic Search,Unknown keywords (SSL)
Co-Founder,5,A ,A - CEO/CXO,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,PRESENTATIONS
Partnership Executive,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,EXTENSION
,6,X ,X - Not Specified,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION
Partnership Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Retail,Offline Sources,INTEGRATION
Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Retail,Offline Sources,INTEGRATION
Chief Executive Officer,5,A ,A - CEO/CXO,Retail,Beauty and Personal Care,Retail,Retail,Offline Sources,INTEGRATION
Vice President,5,D ,D - Lower-level in non-relevant teams,Retail,Beauty and Personal Care,Retail,Retail,Offline Sources,INTEGRATION
Digital Marketing & Content Manager,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,INTEGRATION
,5,X ,X - Not Specified,Retail,Retail - Other,Subscription,Internet,Offline Sources,EXTENSION
Buyer / Category / Supplier Relationship Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,EXTENSION
CEO,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,EXTENSION
Accountant,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,EXTENSION
Senior Product Manager,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION
General Manager,4,A ,A - CEO/CXO,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION
Co-Founder,4,A ,A - CEO/CXO,Retail,Electronics,Retail,Retail,Offline Sources,EXTENSION
Paid Media Senior Associate,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION
,5,X ,X - Not Specified,B2B,Logistics,B2B,Transportation/Trucking/Railroad,Offline Sources,EXTENSION
,5,D ,D - Lower-level in non-relevant teams,B2B,Logistics,B2B,Transportation/Trucking/Railroad,Offline Sources,EXTENSION
Counsel,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION
Digital Marketing,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,,Offline Sources,EXTENSION
Head of Product,6,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION
"Head of E-Commerce & Digital Marketing, North America",6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
E-Commerce Director,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
,4,X ,X - Not Specified,Retail,Retail - Other,Deals,Internet,Offline Sources,SEQUENCES
"Vice President of PR & Marketing, BCBG Group",6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
"Sr. Ecommerce Director, BCBG Group",6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
"Creative Director Motherhood, A Pea in the Pod, BCBG Brands",6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
Brand President,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
????????,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Movies,Media,,Other Campaigns,
Senior Director E-Commerce - Maternity & BCBG,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
Senior Director Of Marketing,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
Digital Marketing Manager,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
Lead Ecommerce Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,INTEGRATION
Digital Product Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,INTEGRATION
National Advertising Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION
Director - Performance Improvement,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION
Ecommerce Systems & Operations Specialist,6,C ,C - Lower-level in relevant teams,Retail,Electronics,Electronics & Gaming,,Offline Sources,SEQUENCES
Senior Director of Legal Affairs,6,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
,5,F ,F - Left the company,Retail,Retail - Other,B2B,Biotechnology,Offline Sources,EXTENSION
"Associate Manager, Growth Marketing",4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION
Executive Manager of Contracts,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
"Sr. Manager, Growth Marketing",4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION
Growth Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Other Campaigns,
"Vice President, Strategy and Insights",4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
Editorial Administrative Assistant,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
"Vice President, Content",4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
Ecommerce Trading Manager,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Internet,Offline Sources,EXTENSION
Manager of Strategic Partnerships,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
"Executive Director, Business Operations",4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION
Product - Online Rewards for Shopping,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION
Senior QA Developer,5,D ,D - Lower-level in non-relevant teams,Travel,Travel - Other,Travel,LEISURE_TRAVEL_TOURISM,Offline Sources,EXTENSION
"Chief Revenue Officer (Marketing, Merchandising, Ecommerce, Technology)",4,A ,A - CEO/CXO,Services,Software and Digital,Retail,COMPUTER_SOFTWARE,Offline Sources,EXTENSION
Director of Customer Acquisition,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Retail,COMPUTER_SOFTWARE,Offline Sources,CONTACTS
VP of Marketing,5,B ,B - SVP/VP in decision-making position,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,IMPORT
Digital Media Manager,4,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,EXTENSION
Account Director,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,EXTENSION
SVP Business Development,6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION
Senior Buyer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,INTEGRATION
,6,X ,X - Not Specified,Retail,Fashion,Subscription,Luxury Goods & Jewelry,Offline Sources,IMPORT
,6,X ,X - Not Specified,Retail,Retail - Other,Electronics & Gaming,COMPUTER_SOFTWARE,Offline Sources,IMPORT
Director of Marketing,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,APPAREL_FASHION,Other Campaigns,
Senior Product Manager,4,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,CONTACTS
,4,X ,X - Not Specified,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,EXTENSION
CEO,4,A ,A - CEO/CXO,Services,Software and Digital,Retail,COMPUTER_SOFTWARE,Offline Sources,CONTACTS
Shopify Specialist,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,RETAIL,Offline Sources,PRESENTATIONS
Marketing Operations Graduate,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Media and Entertainment,"Music, Movies and Photography",Entertainment,Music,Offline Sources,EXTENSION
General Manager - Product and Growth,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION
Head Of Marketing,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION
,4,F ,F - Left the company,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,EXTENSION
Sales Manager,4,C ,C - Lower-level in relevant teams,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,EXTENSION
Partner,5,A ,A - CEO/CXO,B2B,Logistics,B2B,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,EXTENSION
Vice President of Product Management and Strategy,4,B ,B - SVP/VP in decision-making position,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,EXTENSION
Senior Sales Executive,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,PRESENTATIONS
General Manager - Partnerships & Sales,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,PRESENTATIONS
General Manager Marketing,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,PRESENTATIONS
,4,X ,X - Not Specified,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Offline Sources,EXTENSION
Chief Information Officer,4,A ,A - CEO/CXO,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Offline Sources,EXTENSION
COO (Chief Operating Officer),4,A ,A - CEO/CXO,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Offline Sources,EXTENSION
"Vice President, Core Systems, Innovation and CRM promotion Department, Business Strategy",4,B ,B - SVP/VP in decision-making position,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,EXTENSION
Digital Media & Marketing Manager,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,COMPUTER_SOFTWARE,Offline Sources,EXTENSION
Co-Founder,4,A ,A - CEO/CXO,Retail,Electronics,Retail,CONSUMER_GOODS,Offline Sources,EXTENSION
Tech Lead,4,D ,D - Lower-level in non-relevant teams,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,EXTENSION
Product Manager,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Retail,Retail - Other,Subscription,Retail,Offline Sources,EXTENSION
AWS Consultant | Full Stack Developer,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Media and Entertainment,"Music, Movies and Photography",Entertainment,Music,Offline Sources,EXTENSION
,5,X ,X - Not Specified,Media and Entertainment,"Music, Movies and Photography",Entertainment,Music,Offline Sources,EXTENSION
Sales Manager,5,C ,C - Lower-level in relevant teams,Media and Entertainment,"Music, Movies and Photography",Entertainment,Music,Offline Sources,EXTENSION
Financial Reporting Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,EXTENSION
Head of Finance,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,EXTENSION
Partnerships Manager,6,C ,C - Lower-level in relevant teams,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,SALES
,4,X ,X - Not Specified,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
Senior CRM Manager - Europe,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,F ,F - Left the company,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,SALES
"Administrative Assistant, Engineering",4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,SALES
"V.P., C.M.O. Design and Merchandising",4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,SALES
"Vice President, eCommerce",4,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,PRESENTATIONS
Digital Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES
Account Coordinator,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,RETAIL,Offline Sources,SALES
CEO,4,A ,A - CEO/CXO,Retail,Retail - Other,Deals,RETAIL,Offline Sources,SALES
Director Of Procurement,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,RETAIL,Offline Sources,SALES
Managing Director,4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
Circulation & Strategy Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Other Campaigns,
Founder,5,A ,A - CEO/CXO,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Sales & Marketing Manager,4,C ,C - Lower-level in relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
