0,1,2,3,4,5,6,7,8,9,Stored Title
Co-Founder,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,Founder
Founder/CEO,5,A ,A - CEO/CXO,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Offline Sources,INTEGRATION,CEO
Chief Operating Officer,5,A ,A - CEO/CXO,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Offline Sources,INTEGRATION,Chief Operating Officer
Chief Marketing Officer,5,A ,A - CEO/CXO,Food and Beverage,Alcohol and Wine Sellers,Food Services,Food Production,Offline Sources,INTEGRATION,Chief Marketing Officer
Full Stack Developer,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing & Advertising,Offline Sources,EXTENSION,Developer
"Senior Manager Ecommerce, B2C",4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,"Senior Manager Ecommerce, B2C"
Data Analyst,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,EXTENSION,Data Analyst
Financial Controller,5,D ,D - Lower-level in non-relevant teams,Retail,Gifts,Retail,Internet,Offline Sources,EXTENSION,Financial Controller
Chief Executive Officer Australia & New Zealand,4,A ,A - CEO/CXO,Food and Beverage,Food Delivery,Food Services,Retail,Offline Sources,EXTENSION,CEO
"Audience Engagement Manager, Women's Health",4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION,"Audience Engagement Manager, Women's Health"
Executive Sales Manager,6,C ,C - Lower-level in relevant teams,Retail,Electronics,Electronics & Gaming,Computer Hardware,Offline Sources,INTEGRATION,Executive Sales Manager
Founder,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Founder
Email Marketing Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Internet,Offline Sources,INTEGRATION,Email Marketing Manager
"Senior Director, Digital Marketing",5,C ,C - Lower-level in relevant teams,Retail,"Music, Movies and Photography",Retail,Music,Offline Sources,INTEGRATION,Director
Marketing Director,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,EXTENSION,Director
Chief Marketing Officer,4,A ,A - CEO/CXO,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION,Chief Marketing Officer
"Deputy Editor, Content Strategy (Men's Health)",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,Deputy Editor
"Deputy Editor of Content, Men's Health",4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,Deputy Editor
Marketing Analyst,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Marketing Analyst
vm,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,vm
Senior Web Developer,5,D ,D - Lower-level in non-relevant teams,Retail,Gifts,Retail,Internet,Offline Sources,EXTENSION,Developer
Chief Integration Officer,4,D ,D - Lower-level in non-relevant teams,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION,Chief Integration Officer
Senior Affiliate Marketing Manager,4,C ,C - Lower-level in relevant teams,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION,Senior Affiliate Marketing Manager
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Internet,Offline Sources,PRESENTATIONS,Digital Marketing Manager
Web Analyst,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Internet,Offline Sources,EXTENSION,Web Analyst
Chief Executive Officer,5,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Offline Sources,INTEGRATION,CEO
Emerging Platforms Director,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION,Director
Co-Founder,4,A ,A - CEO/CXO,Retail,Fashion,Retail,,Offline Sources,,Founder
Co-Founder,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Founder
Co-Founder,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Founder
Paid Media Director,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Director
Strategic Advisor,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Consumer Goods,Offline Sources,INTEGRATION,Strategic Advisor
Ecommerce Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Ecommerce Manager
Head Of Operations,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Head Of Operations
Growth Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Growth Marketing Manager
Brand Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Brand Marketing Manager
Software Engineer,6,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Software Engineer
Lead Software Developer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION,Developer
Staff Software Engineer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION,Staff Software Engineer
"Executive Digital Editor, Women's Health magazine",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,"Executive Digital Editor, Women's Health magazine"
Web Engineer,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Movies,Media,,Offline Sources,EXTENSION,Web Engineer
Full Stack Software Engineer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,EXTENSION,Full Stack Software Engineer
"Vice President, Marketing Automation",4,B ,B - SVP/VP in decision-making position,B2B,Software and Digital,B2B,Internet,Offline Sources,SEQUENCES,President
Chief People Officer,4,A ,A - CEO/CXO,B2B,Software and Digital,B2B,Internet,Offline Sources,INTEGRATION,Chief People Officer
Digital Director,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION,Director
Chief Development Officer,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION,Chief Development Officer
SVP of Ecommerce,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION,Vice President
"Vice-Chairman, President & COO",5,A ,A - CEO/CXO,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,COO
Vice President of Network Operations,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,President
VP of Production and Sourcing,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,Vice President
Senior Vice President Digital Strategy,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,President
Senior Vice President Marketing/Communications,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,INTEGRATION,President
Director of Digital,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION,Director
VP Sales and Revenue,4,B ,B - SVP/VP in decision-making position,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION,Vice President
E-Commerce Operations Manager,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION,E-Commerce Operations Manager
"Senior Director, Editorial & Strategy, Oprah Daily",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,Director
Director of Innovation and Automation,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Offline Sources,EXTENSION,Director
Marketing Director,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,EXTENSION,Director
"Director, CRM & Channel Segmentation",4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Retail,Organic Search,Unknown keywords (SSL),Director
Co-Founder,5,A ,A - CEO/CXO,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,PRESENTATIONS,Founder
Partnership Executive,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,EXTENSION,Partnership Executive
Partnership Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Retail,Offline Sources,INTEGRATION,Partnership Marketing Manager
Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Beauty and Personal Care,Retail,Retail,Offline Sources,INTEGRATION,Marketing Manager
Chief Executive Officer,5,A ,A - CEO/CXO,Retail,Beauty and Personal Care,Retail,Retail,Offline Sources,INTEGRATION,CEO
Vice President,5,D ,D - Lower-level in non-relevant teams,Retail,Beauty and Personal Care,Retail,Retail,Offline Sources,INTEGRATION,President
Digital Marketing & Content Manager,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,INTEGRATION,Digital Marketing & Content Manager
Buyer / Category / Supplier Relationship Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,EXTENSION,Buyer / Category / Supplier Relationship Manager
CEO,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,EXTENSION,CEO
Accountant,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,Retail,Offline Sources,EXTENSION,Accountant
Senior Product Manager,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION,Senior Product Manager
General Manager,4,A ,A - CEO/CXO,Services,Software and Digital,Subscription,Information Technology and Services,Offline Sources,EXTENSION,General Manager
Co-Founder,4,A ,A - CEO/CXO,Retail,Electronics,Retail,Retail,Offline Sources,EXTENSION,Founder
Paid Media Senior Associate,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Retail,Internet,Offline Sources,EXTENSION,Paid Media Senior Associate
,5,D ,D - Lower-level in non-relevant teams,B2B,Logistics,B2B,Transportation/Trucking/Railroad,Offline Sources,EXTENSION,
Counsel,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Media Production,Offline Sources,EXTENSION,Counsel
Digital Marketing,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,,Offline Sources,EXTENSION,Digital Marketing
Head of Product,6,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,EXTENSION,Head of Product
"Head of E-Commerce & Digital Marketing, North America",6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,"Head of E-Commerce & Digital Marketing, North America"
E-Commerce Director,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Director
"Vice President of PR & Marketing, BCBG Group",6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,President
"Sr. Ecommerce Director, BCBG Group",6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Director
"Creative Director Motherhood, A Pea in the Pod, BCBG Brands",6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Director
Brand President,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,President
????????,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Movies,Media,,Other Campaigns,,????????
Senior Director E-Commerce - Maternity & BCBG,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Director
Senior Director Of Marketing,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Director
Digital Marketing Manager,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Digital Marketing Manager
Lead Ecommerce Coordinator,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,INTEGRATION,COO
Digital Product Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,INTEGRATION,Digital Product Manager
National Advertising Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION,National Advertising Manager
Director - Performance Improvement,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,INTEGRATION,Director
Ecommerce Systems & Operations Specialist,6,C ,C - Lower-level in relevant teams,Retail,Electronics,Electronics & Gaming,,Offline Sources,SEQUENCES,Ecommerce Systems & Operations Specialist
Senior Director of Legal Affairs,6,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Director
"Associate Manager, Growth Marketing",4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION,Associate Manager
Executive Manager of Contracts,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,Executive Manager of Contracts
"Sr. Manager, Growth Marketing",4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION,"Sr. Manager, Growth Marketing"
Growth Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Apparel & Fashion,Other Campaigns,,Growth Marketing Manager
"Vice President, Strategy and Insights",4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,President
Editorial Administrative Assistant,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,Editorial Administrative Assistant
"Vice President, Content",4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,President
Ecommerce Trading Manager,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Internet,Offline Sources,EXTENSION,Ecommerce Trading Manager
Manager of Strategic Partnerships,6,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Manager of Strategic Partnerships
"Executive Director, Business Operations",4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Publishing,Offline Sources,EXTENSION,Director
Product - Online Rewards for Shopping,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,Internet,Offline Sources,EXTENSION,Product - Online Rewards for Shopping
Senior QA Developer,5,D ,D - Lower-level in non-relevant teams,Travel,Travel - Other,Travel,LEISURE_TRAVEL_TOURISM,Offline Sources,EXTENSION,Developer
"Chief Revenue Officer (Marketing, Merchandising, Ecommerce, Technology)",4,A ,A - CEO/CXO,Services,Software and Digital,Retail,COMPUTER_SOFTWARE,Offline Sources,EXTENSION,Chief Revenue Officer
Director of Customer Acquisition,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Retail,COMPUTER_SOFTWARE,Offline Sources,CONTACTS,Director
VP of Marketing,5,B ,B - SVP/VP in decision-making position,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,IMPORT,Vice President
Digital Media Manager,4,C ,C - Lower-level in relevant teams,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,EXTENSION,Digital Media Manager
Account Director,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,EXTENSION,Director
SVP Business Development,6,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,B2B,Marketing and Advertising,Offline Sources,EXTENSION,Vice President
Senior Buyer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,INTEGRATION,Senior Buyer
Director of Marketing,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,APPAREL_FASHION,Other Campaigns,,Director
Senior Product Manager,4,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,CONTACTS,Senior Product Manager
CEO,4,A ,A - CEO/CXO,Services,Software and Digital,Retail,COMPUTER_SOFTWARE,Offline Sources,CONTACTS,CEO
Shopify Specialist,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,RETAIL,Offline Sources,PRESENTATIONS,Shopify Specialist
Marketing Operations Graduate,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,EXTENSION,Marketing Operations Graduate
General Manager - Product and Growth,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION,General Manager
Head Of Marketing,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,EXTENSION,Head Of Marketing
Sales Manager,4,C ,C - Lower-level in relevant teams,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,EXTENSION,Sales Manager
Partner,5,A ,A - CEO/CXO,B2B,Logistics,B2B,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,EXTENSION,Partner
Vice President of Product Management and Strategy,4,B ,B - SVP/VP in decision-making position,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,EXTENSION,President
Senior Sales Executive,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,PRESENTATIONS,Senior Sales Executive
General Manager - Partnerships & Sales,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,PRESENTATIONS,General Manager
General Manager Marketing,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,PRESENTATIONS,General Manager
Chief Information Officer,4,A ,A - CEO/CXO,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Offline Sources,EXTENSION,Chief Information Officer
COO (Chief Operating Officer),4,A ,A - CEO/CXO,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Offline Sources,EXTENSION,COO
"Vice President, Core Systems, Innovation and CRM promotion Department, Business Strategy",4,B ,B - SVP/VP in decision-making position,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,EXTENSION,President
Digital Media & Marketing Manager,4,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,COMPUTER_SOFTWARE,Offline Sources,EXTENSION,Digital Media & Marketing Manager
Co-Founder,4,A ,A - CEO/CXO,Retail,Electronics,Retail,CONSUMER_GOODS,Offline Sources,EXTENSION,Founder
Tech Lead,4,D ,D - Lower-level in non-relevant teams,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,EXTENSION,Tech Lead
Product Manager,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,EXTENSION,Product Manager
AWS Consultant | Full Stack Developer,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,EXTENSION,Developer
Sales Manager,5,C ,C - Lower-level in relevant teams,Media and Entertainment,"Music, Movies and Photography",Entertainment,Music,Offline Sources,EXTENSION,Sales Manager
Financial Reporting Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,EXTENSION,Financial Reporting Manager
Head of Finance,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,EXTENSION,Head of Finance
Partnerships Manager,6,C ,C - Lower-level in relevant teams,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,SALES,Partnerships Manager
Senior CRM Manager - Europe,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Senior CRM Manager - Europe
"Administrative Assistant, Engineering",4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,SALES,"Administrative Assistant, Engineering"
"V.P., C.M.O. Design and Merchandising",4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,SALES,"V.P., C.M.O. Design and Merchandising"
"Vice President, eCommerce",4,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,APPAREL_FASHION,Offline Sources,SALES,President
Digital Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES,COO
Account Coordinator,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,RETAIL,Offline Sources,SALES,COO
CEO,4,A ,A - CEO/CXO,Retail,Retail - Other,Deals,RETAIL,Offline Sources,SALES,CEO
Director Of Procurement,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Deals,RETAIL,Offline Sources,SALES,Director
Managing Director,4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,Director
Circulation & Strategy Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Other Campaigns,,Circulation & Strategy Manager
Founder,5,A ,A - CEO/CXO,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Founder
Sales & Marketing Manager,4,C ,C - Lower-level in relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES,Sales & Marketing Manager
Head of Marketing and Ecom,4,B ,B - SVP/VP in decision-making position,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,CONTACTS,Head Of Marketing
Director - Performance Improvement,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,PRESENTATIONS,Director
Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,PRESENTATIONS,Marketing Manager
E-Commerce Optimisation Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,E-Commerce Optimisation Manager
Site Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Site Manager
Software Engineer,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Software Engineer
Chief Technology Officer,4,A ,A - CEO/CXO,Travel,Travel - Other,Travel,Commercial Real Estate,Offline Sources,SEQUENCES,Chief Technology Officer
Founder and Director,6,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,SALES,Director
Growth Product Manager,4,C ,C - Lower-level in relevant teams,Travel,Travel - Other,Travel,Commercial Real Estate,Offline Sources,SALES,Growth Product Manager
',4,C ,C - Lower-level in relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES,'
Program Management,6,D ,D - Lower-level in non-relevant teams,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,SALES,Program Management
CEO & Co-Founder,6,A ,A - CEO/CXO,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,SALES,CEO
Director Of Affiliate Marketing,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Computer Software,Offline Sources,SALES,Director
Founder & CEO,5,A ,A - CEO/CXO,Retail,Gifts,Retail,RETAIL,Offline Sources,SALES,CEO
Chief Growth Officer,4,A ,A - CEO/CXO,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,SALES,Chief Growth Officer
VP of Technology,4,D ,D - Lower-level in non-relevant teams,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,SALES,Vice President
Marketing Manager,4,C ,C - Lower-level in relevant teams,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,SALES,Marketing Manager
Senior Business Development Manager,4,C ,C - Lower-level in relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,Senior Business Development Manager
Front End Developer,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Developer
Head Of Technical Projects,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Head Of Technical Projects
Tech Lead,6,D ,D - Lower-level in non-relevant teams,Services,Local,Travel,"Leisure, Travel & Tourism",Referrals,my.rokt.com,Tech Lead
Chief Commercial Officer & MD Global Ticketing,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,ENTERTAINMENT,Offline Sources,SALES,Chief Commercial Officer & MD Global Ticketing
Special Projects,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,SALES,Special Projects
Chief Technology Officer,4,A ,A - CEO/CXO,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,SALES,Chief Technology Officer
Director Of Merchandising,4,D ,D - Lower-level in non-relevant teams,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,SALES,Director
Engineering Director,4,D ,D - Lower-level in non-relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES,Director
Senior Software Engineer,4,D ,D - Lower-level in non-relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES,Senior Software Engineer
Senior Software Engineer,4,D ,D - Lower-level in non-relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES,Senior Software Engineer
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,SALES,Digital Marketing Manager
Head Of Marketing,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES,Head Of Marketing
Head of Business Development,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Head of Business Development
Digital Marketing Executive,5,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Calendar,SPORTS,Organic Search,Unknown keywords (SSL),Digital Marketing Executive
"Director, Corporate Planning",4,D ,D - Lower-level in non-relevant teams,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,SALES,Director
Executive Director of Consumer Revenue,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,CONTACTS,Director
SVP Business Development,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Vice President
